,City,Country,Latitude,Longitude,Current Temperature,Humidity,Cloudiness,Wind Speed,Date
0,Ozona,US,30.4,-101.04,73.3,64,1,4.1,2020-10-26 00:53:12
1,Seyfūllīn,KZ,53.44,68.94,45.3,87,100,5.97,2020-10-26 00:53:12
2,Sesheke,ZM,-17.13,24.75,68.8,34,0,1.49,2020-10-26 00:53:13
3,Mweka,CD,-4.52,21.44,69.4,99,100,0.67,2020-10-26 00:53:13
4,Bowen,AR,-34.47,-67.1,64.7,28,0,2.61,2020-10-26 00:53:13
5,Tanjung,ID,-4.39,114.49,84.2,74,100,4.97,2020-10-26 00:53:14
6,Tokār,SD,18.04,38.55,83.7,70,0,5.98,2020-10-26 00:53:15
7,Celestún,MX,21.83,-90.79,80.7,80,95,8.11,2020-10-26 00:53:15
8,Rio Brilhante,BR,-21.57,-54.51,80.3,69,23,2.23,2020-10-26 00:53:16
9,Sigli,ID,6.35,96.57,83.7,74,100,5.82,2020-10-26 00:53:17
10,Tahe,CN,51.47,125.95,36.5,79,100,1.69,2020-10-26 00:53:17
11,Madre de Dios,PE,-12.05,-69.83,80.2,71,98,1.51,2020-10-26 00:53:17
12,Dongargaon,IN,20.92,80.94,68.5,68,0,0.83,2020-10-26 00:53:18
13,Fort Franklin,CA,65.22,-120.65,28.5,94,81,9.24,2020-10-26 00:53:20
14,Porgera,PG,-5.29,143.12,69.4,76,34,1.58,2020-10-26 00:53:20
15,Dukhovnitskoye,RU,52.48,48.24,39.6,75,0,7.77,2020-10-26 00:53:21
16,Brezina,DZ,33.35,1.18,48.2,66,0,1.0,2020-10-26 00:53:21
17,Ullswater,AU,-36.96,141.34,59.3,63,1,6.91,2020-10-26 00:53:22
18,Nuiqsut,US,70.4,-152.01,22.1,85,90,6.2,2020-10-26 00:53:23
19,Yazıbaşı,TR,39.84,36.93,44.6,52,0,1.5,2020-10-26 00:53:23
20,Northwest,IS,65.1,-20.63,36.0,87,65,1.79,2020-10-26 00:53:24
21,Sachs Harbour,CA,72.67,-127.88,11.4,95,100,6.5,2020-10-26 00:53:24
22,Ullal,IN,12.5,73.72,80.7,72,26,2.18,2020-10-26 00:53:24
23,Iriba,TD,15.47,22.09,69.0,25,0,5.35,2020-10-26 00:53:24
24,Néma,MR,16.12,-6.8,83.5,13,0,6.02,2020-10-26 00:53:25
25,Bilibino,RU,67.77,163.34,17.0,94,100,0.96,2020-10-26 00:53:26
26,Ghardaia Province,DZ,31.15,4.24,67.2,37,0,3.16,2020-10-26 00:53:26
27,Khakasiya Republic,RU,53.47,90.5,28.4,63,0,4.0,2020-10-26 00:53:27
28,Arizona,US,34.69,-111.27,57.7,70,0,1.79,2020-10-26 00:53:27
29,Foso,GH,5.82,-1.24,72.6,99,26,1.04,2020-10-26 00:53:27
30,Niger,NE,16.0,7.43,73.2,21,0,4.39,2020-10-26 00:53:28
31,Kelibia,TN,36.98,11.26,59.0,93,0,0.5,2020-10-26 00:53:28
32,Røst,NO,67.7,11.86,49.1,82,100,10.12,2020-10-26 00:53:28
33,Laranja da Terra,BR,-19.81,-41.19,68.1,96,90,0.72,2020-10-26 00:53:30
34,-,KZ,49.47,64.74,51.0,80,100,12.44,2020-10-26 00:53:30
35,Jabal al Gharbi District,LY,30.89,12.82,59.4,93,82,6.61,2020-10-26 00:53:31
36,Tymovskoye,RU,50.97,143.04,32.6,97,100,5.18,2020-10-26 00:53:32
37,Yubzha,CN,33.9,83.82,13.9,65,0,3.46,2020-10-26 00:53:33
38,Panguna,PG,-7.04,155.99,83.3,74,87,4.5,2020-10-26 00:53:34
39,Haines,US,59.1,-135.55,30.2,86,90,3.6,2020-10-26 00:53:34
40,Dunnigan,US,38.93,-121.93,65.9,15,20,10.8,2020-10-26 00:53:34
41,Goldfields,CA,58.32,-108.91,17.7,94,100,3.1,2020-10-26 00:53:35
42,Ofanleiti,IS,62.9,-21.52,44.9,71,0,1.32,2020-10-26 00:53:35
43,Jokkmokk,SE,66.71,20.03,30.2,100,90,5.1,2020-10-26 00:53:36
44,Ghat,LY,24.49,10.82,64.0,31,0,0.38,2020-10-26 00:53:36
45,Naj‘ Tinjār,EG,24.26,32.17,65.4,47,0,5.38,2020-10-26 00:53:36
46,Neiafu,TO,-18.15,-173.02,76.7,82,100,7.25,2020-10-26 00:53:37
47,Boothbay Harbor,US,43.75,-69.67,37.4,80,1,5.68,2020-10-26 00:53:38
48,Kavaratti,IN,10.33,71.37,81.8,73,79,1.78,2020-10-26 00:53:39
49,Carauari,BR,-4.89,-66.66,74.2,91,74,0.03,2020-10-26 00:53:39
50,Nosy Varika,MG,-20.88,49.82,74.4,66,5,2.92,2020-10-26 00:53:39
51,Huangtian Nongchang,CN,42.6,93.81,41.6,58,100,2.77,2020-10-26 00:53:40
52,Kismayo,SO,-0.66,42.91,80.3,81,100,4.82,2020-10-26 00:53:40
